token,rater_label,clip_id,clip_filename,watched_complete,watch_progress_sec,duration_sec,memorability,perceived_agency,best_context,payload_json,end_highest_rated_notes,end_lowest_rated_notes,end_further_comments,end_payload_json,updated_at
45564b6b9933335bbd89944b84c810f6,a,1,,True,5.01551,5.01551,,,,"{'R_2': '1', 'R_3': '2', 'R_4': '1', 'R_5': '1', 'R_6': '1', 'R_7': '1', 'R_8': '1', 'R_9': '1', 'comments': '', 'attention': 'Mostly sound'}",,,,{},2026-01-01T23:55:37.648428+00:00
fb2e62201e7bad22ec1868088c324770,abc,2,,True,66.316667,66.316667,2,5,workshop_education,"{'R_1': '1', 'R_2': '1', 'R_3': '1', 'R_4': '1', 'R_5': '1', 'R_6': '1', 'R_7': '1', 'R_8': '1', 'R_9': '1', 'comments': '', 'attention': 'Balanced'}",,,,"{'top1': 'cant remember', 'top2': 'as', 'top3': '1', 'fusion_notes': ''}",2026-01-05T12:45:57.353425+00:00
fb2e62201e7bad22ec1868088c324770,abc,1,,True,5.01551,5.01551,4,6,workshop_education,"{'R_1': '1', 'R_2': '1', 'R_3': '1', 'R_4': '1', 'R_5': '1', 'R_6': '1', 'R_7': '1', 'R_8': '1', 'R_9': '1', 'comments': '', 'attention': 'Mostly light'}",,,,"{'top1': 'cant remember', 'top2': 'as', 'top3': '1', 'fusion_notes': ''}",2026-01-05T12:46:26.939923+00:00
96038ee52ac3f2f4e55c9acf5d1a4b28,test1,3,,True,65.483333,65.483333,1,1,installation_gallery,"{'R_1': '1', 'R_2': '1', 'R_3': '1', 'R_4': '1', 'R_5': '1', 'R_6': '1', 'R_7': '1', 'R_8': '1', 'R_9': '1', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-09T10:14:31.606410+00:00
96038ee52ac3f2f4e55c9acf5d1a4b28,test1,37,,True,82.433333,82.433333,7,4,,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '7', 'R_7': '7', 'R_8': '7', 'R_9': '7', 'comments': ''}",,,,{},2026-01-09T10:23:46.288544+00:00
d8e1b047ebad142949de7c5c941a96db,test3,14,,True,135.95,135.95,,5,,"{'R_1': '7', 'R_2': '3', 'R_3': '4', 'R_4': '5', 'R_5': '6', 'R_6': '4', 'R_7': '2', 'R_8': '6', 'R_9': '4', 'comments': ''}",,,,{},2026-01-09T11:00:39.911544+00:00
0d88046d8223109f58dffe52ebc3070b,test4,26,,True,97.483333,97.483333,,7,installation_gallery,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '7', 'R_7': '7', 'R_8': '7', 'R_9': '7', 'comments': '', 'attention': 'Mostly sound', 'condition_guess': 'audio_only'}",,,,{},2026-01-09T11:08:25.343782+00:00
0d88046d8223109f58dffe52ebc3070b,test4,54,,True,114.766667,114.766667,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '7', 'R_7': '7', 'R_8': '7', 'R_9': '7', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-09T11:10:51.701168+00:00
0d88046d8223109f58dffe52ebc3070b,test4,10,,True,76.516667,76.516667,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '7', 'R_7': '7', 'R_8': '7', 'R_9': '7', 'comments': '', 'attention': 'Mostly light', 'condition_guess': 'visual_only'}",,,,{},2026-01-09T11:12:37.247391+00:00
0d88046d8223109f58dffe52ebc3070b,test4,15,,True,114.233333,114.233333,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '7', 'R_7': '7', 'R_8': '7', 'R_9': '7', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-09T11:14:57.128230+00:00
